*** Config ***
RB DL #0;25
RB UL #0;25
CAPS;1
Max UE;1
Power on duration;20
Power off duration;10
UE;10

*** Scripts ***
UE ID;Name;Type;Start;Stop;Status;Result
286.129;47855;51074;0;0;1;0;0;1
287.239;26133;26255;0;0;1;0;0;1
288.350;432;0;0;0;1;0;0;0
289.461;432;1713;0;0;1;0;0;1
290.568;650;1835;0;0;1;0;0;1
291.679;2880;3859;0;0;1;0;0;1
292.791;9899;11043;0;0;1;0;0;1
293.899;8967;17379;0;0;1;0;0;1
295.005;16448;10688;0;0;1;0;0;1
296.025;10111;3006;0;0;1;0;0;1
297.130;159898;12014;0;0;1;0;0;1
298.240;79834;6810;0;0;1;0;0;1
299.352;159265;13112;0;0;1;0;0;1
300.462;79215;6768;0;0;1;0;0;1
301.571;236061;13208;0;0;1;0;0;1
302.684;79928;9302;0;0;1;0;0;1
303.794;18016;21335;0;0;1;0;0;1
304.903;41053;41168;0;0;1;0;0;1
306.015;35607;36097;0;0;1;0;0;1
307.024;45351;44923;0;0;1;0;0;1
308.130;40303;41584;0;0;1;0;0;1
309.238;6129;3783;0;0;1;0;0;1
310.347;518;0;0;0;1;0;0;0
311.460;517;1856;0;0;1;0;0;1
312.570;2541;5191;0;0;1;0;0;1
313.680;16749;18990;0;0;1;0;0;1
314.798;8150;8716;0;0;1;0;0;1
315.914;8866;9375;0;0;1;0;0;1
317.504;114809;7662;0;0;1;0;0;1
319.076;165431;10293;0;0;1;0;0;1
320.672;54670;4117;0;0;1;0;0;1
322.027;128212;8991;0;0;1;0;0;1
323.172;151252;10550;0;0;1;0;0;1
324.283;2776;6633;0;0;1;0;0;1
325.400;7397;24415;0;0;1;0;0;1
326.771;45002;40845;0;0;1;0;0;1
327.880;22218;42748;0;0;1;0;0;1
328.990;35517;39985;0;0;1;0;0;1
330.021;2358;4779;0;0;1;0;0;1
331.173;250;0;0;0;1;0;0;0
332.309;253;738;0;0;1;0;0;1
333.625;328;1276;0;0;1;0;0;1
334.742;258;0;0;0;1;0;0;0
335.851;259;0;0;0;1;0;0;0
336.957;390;0;0;0;1;0;0;0
338.021;270;789;0;0;1;0;0;1
339.263;232;1353;0;0;1;0;0;1
340.405;378;735;0;0;1;0;0;1
341.515;0;0;0;0;0;0;0;0
342.619;23377;25172;0;0;1;0;0;1
343.727;40657;40715;0;0;1;0;0;1
344.836;41499;39783;0;0;1;0;0;1
345.965;45957;42014;0;0;1;0;0;1
347.256;36941;34191;0;0;1;0;0;1
348.403;627;732;0;0;1;0;0;1
349.511;462;0;0;0;1;0;0;0
350.624;187;956;0;0;1;0;0;1
351.743;11138;14055;0;0;1;0;0;1
352.850;8224;8802;0;0;1;0;0;1
353.960;8201;9751;0;0;1;0;0;1
355.025;17307;12875;0;0;1;0;0;1
356.130;156831;11074;0;0;1;0;0;1
357.239;157588;12101;0;0;1;0;0;1
358.347;158209;13306;0;0;1;0;0;1
359.455;157833;11862;0;0;1;0;0;1
361.100;106562;8632;0;0;1;0;0;1
362.204;79449;5905;0;0;1;0;0;1
363.313;649;0;0;0;1;0;0;0
364.419;433;0;0;0;1;0;0;0
365.524;434;0;0;0;1;0;0;0
366.633;432;0;0;0;1;0;0;0
367.744;432;813;0;0;1;0;0;1
368.856;647;0;0;0;1;0;0;0
370.005;417;926;0;0;1;0;0;1
371.027;469;1041;0;0;1;0;0;1
372.131;2555;5219;0;0;1;0;0;1
373.240;16880;19729;0;0;1;0;0;1
374.348;8216;10115;0;0;1;0;0;1
375.455;8954;11095;0;0;1;0;0;1
376.564;86492;7199;0;0;1;0;0;1
377.669;78452;6292;0;0;1;0;0;1
378.777;79379;6801;0;0;1;0;0;1
379.888;155733;9650;0;0;1;0;0;1
381.005;309280;19334;0;0;1;0;0;1
382.021;85952;7929;0;0;1;0;0;1
383.126;390;962;0;0;1;0;0;1
384.237;27416;29917;0;0;1;0;0;1
385.342;23913;36267;0;0;1;0;0;1
386.452;35661;39625;0;0;1;0;0;1
387.560;40028;41407;0;0;1;0;0;1
388.672;32878;37436;0;0;1;0;0;1
389.781;432;0;0;0;1;0;0;0
390.886;433;1779;0;0;1;0;0;1
391.994;433;0;0;0;1;0;0;0
393.026;465;937;0;0;1;0;0;1
394.134;2327;4162;0;0;1;0;0;1
395.242;259;758;0;0;1;0;0;1
396.348;260;758;0;0;1;0;0;1
397.456;390;0;0;0;1;0;0;0
398.563;78800;5586;0;0;1;0;0;1
399.671;156317;10086;0;0;1;0;0;1
400.778;236072;17667;0;0;1;0;0;1
401.888;79119;5886;0;0;1;0;0;1
402.997;79552;5763;0;0;1;0;0;1
404.020;85505;7225;0;0;1;0;0;1
405.125;260;962;0;0;1;0;0;1
406.229;9194;14190;0;0;1;0;0;1
407.358;15971;41283;0;0;1;0;0;1
408.465;32433;35403;0;0;1;0;0;1
409.570;5092;11725;0;0;1;0;0;1
410.679;19826;22064;0;0;1;0;0;1
411.788;432;0;0;0;1;0;0;0
412.895;433;961;0;0;1;0;0;1
414.003;649;0;0;0;1;0;0;0
415.021;471;1045;0;0;1;0;0;1
416.125;2425;4930;0;0;1;0;0;1
417.233;8953;10238;0;0;1;0;0;1
418.337;16231;19355;0;0;1;0;0;1
419.452;8050;9069;0;0;1;0;0;1
420.560;9039;3436;0;0;1;0;0;1
421.669;259;0;0;0;1;0;0;0
422.775;390;1809;0;0;1;0;0;1
423.880;260;0;0;0;1;0;0;0
